ad_insertion_modal_viewed,162,129,126,162,129,126
email_notifications_dismissed,282,117,115,282,117,115
ad_insertion_faq_expanded,176,115,112,176,115,112
landing_io_transmission_selected,174,115,112,174,115,112
free_vehicle_history_clicked,127,106,100,127,106,100
landing_io_phone_selected,116,105,102,116,105,102
ad_insertion_io_dealers_and_dates_viewed,110,102,97,110,102,97
landing_io_email_selected,110,99,97,110,99,97
landing_io_offer_requested_error,146,86,84,146,86,84
ad_insertion_io_button_clicked,89,82,79,89,82,79
detail_financial_legal_conditions_clicke,87,80,77,87,80,77
landing_io_offer_requested,85,79,75,85,79,75
ad_insertion_modal_dismissed,82,76,76,82,76,76
ad_insertion_modal_button_1_clicked,80,72,69,80,72,69
appraisal_requested_error,114,69,69,114,69,69
ad_draft_deleted,73,65,65,73,65,65
certified_cars_program_clicked,66,61,58,66,61,58
mobile_push_notifications_allowed,139,61,56,139,61,56
add_extra_brand_clicked,62,51,51,62,51,51
appraisal_privacy_check_selected,59,45,34,59,45,34
ad_insertion_io_date_selected,46,42,41,46,42,41
checkout_started,52,40,36,52,40,36
mobile_push_notifications_dismissed,63,40,39,63,40,39
email_notifications_allowed,39,34,34,39,34,34
landing_io_interested_clicked,37,34,33,37,34,33
ad_insertion_io_hour_selected,38,33,33,38,33,33
ad_insertion_faq_contracted,40,27,27,40,27,27
order_completed,35,27,24,35,27,24
detail_news_viewed,28,26,26,28,26,26
ad_insertion_io_date_confirmed,25,23,23,25,23,23
ad_insertion_io_confirmation_faq_expande,35,22,22,35,22,22
recommended_ad_replied_email,24,22,22,24,22,22
signed_up_error,32,21,21,32,21,21
ios_app_downloaded,21,20,19,21,20,19
appraisal_to_search_clicked,25,19,18,25,19,18
android_app_downloaded,17,16,16,17,16,16
edit_account_viewed,19,13,10,19,13,10
ad_insertion_io_dealer_selected,12,10,10,12,10,10
landing_io_date_confirmed,7,7,7,7,7,7
landing_io_faq_expanded,16,7,7,16,7,7
take_out_user_download_my_data_clicked,9,7,7,9,7,7
appraisal_select_dealer_confirmed,6,6,6,6,6,6
appraisal_email_selected,5,5,5,5,5,5
appraisal_phone_selected,5,5,5,5,5,5
appraisal_to_ad_insertion_clicked,5,5,5,5,5,5
financed_call_me_back_viewed,4,4,4,4,4,4
ad_insertion_io_postal_code_error,4,3,3,4,3,3
notifications_configuration_promotions_c,2,2,2,2,2,2
privacy_configuration_personalized_ads_c,2,2,2,2,2,2
video_complete,2,2,2,2,2,2
video_progress,19,2,2,19,2,2
video_start,6,2,2,6,2,2
appraisal_select_dealer_error,1,1,1,1,1,1
carfax_product_clicked,1,1,1,1,1,1
checkout_error,1,1,1,1,1,1
financed_phone_viewed,1,1,1,1,1,1
my_messaging_inbox_viewed,1,1,1,1,1,1
privacy_configuration_delete_my_data_cli,1,1,1,1,1,1
tramicar_product_clicked,1,1,1,1,1,1
what_do_you_love_viewed,1,1,1,1,1,1
