my_messages_viewed,0,0,0,0,0,0,2071,181,726,2071,181,726
nearby_neighbourhoods_showed,2174,714,1654,0,0,0,0,0,0,2174,714,1654
os_update,0,0,0,42,7,50,2862,1420,3403,2904,1427,3453
page_view,2166858,211211,380253,0,0,0,0,0,0,2166858,211211,380253
page_viewed,443202,86412,184341,2973,172,692,28182,1562,6141,474357,88081,191783
property_valuation_configuration_viewed,1104,85,181,0,0,0,0,0,0,1104,85,181
property_valuation_error,189,38,91,0,0,0,0,0,0,189,38,91
property_valuation_landing_button_clicke,70,24,48,0,0,0,0,0,0,70,24,48
property_valuation_landing_viewed,596,142,298,0,0,0,0,0,0,596,142,298
property_valuation_result_viewed,309,81,172,0,0,0,0,0,0,309,81,172
property_valuation_simulation_button_cli,762,85,181,0,0,0,0,0,0,762,85,181
pta_button_clicked,443,193,451,0,0,0,0,0,0,443,193,451
pta_ce_clicked,581,187,401,0,0,0,0,0,0,581,187,401
pta_landing_viewed,226,79,169,0,0,0,0,0,0,226,79,169
push_notification_tapped,0,0,0,0,0,0,4056,610,2420,4056,610,2420
recommended_ads_showed,2217,716,1659,0,0,0,0,0,0,2217,716,1659
recommender_card_clicked,15491,4723,10902,87,11,38,0,0,0,15578,4733,10940
recommender_loaded,395576,47572,104096,0,0,0,0,0,0,395576,47572,104096
rent_acquisition_landing_viewed,32,16,38,0,0,0,0,0,0,32,16,38
request_reset_password,514,226,537,0,0,0,0,0,0,514,226,537
request_reset_password_error,83,19,45,0,0,0,0,0,0,83,19,45
request_reset_password_showed,646,272,647,0,0,0,0,0,0,646,272,647
reset_password_showed,322,152,363,0,0,0,0,0,0,322,152,363
screen_view,0,0,0,106983,3278,5484,814275,24481,39575,921258,27319,44990
scroll,126092,47632,104724,0,0,0,0,0,0,126092,47632,104724
search_button_clicked,7862,3048,6993,0,0,0,0,0,0,7862,3048,6993
search_history_item_selected,14968,5560,12298,216,31,122,1236,191,711,16420,5822,13131
session_start,438411,206657,361716,6414,3244,5370,54265,27091,40109,499090,234655,406834
share_method_submitted,9982,2808,6472,0,0,0,0,0,0,9982,2808,6472
shared_icon_clicked,10167,2877,6625,95,18,62,1238,178,690,11500,3059,7375
sign_in_showed,16990,5210,11678,75,14,62,114,19,79,17179,5244,11811
sign_up_showed,3151,1401,3339,0,0,0,56,12,50,3207,1414,3389
signed_in,3028,1435,3270,32,11,38,42,13,50,3102,1459,3351
signed_in_error,11408,4804,11355,0,0,0,110,12,45,11518,4818,11401
signed_out,256,100,222,0,0,0,0,0,0,256,100,222
signed_up,1403,691,1656,0,0,0,79,24,91,1482,715,1747
signed_up_error,1671,319,761,0,0,0,0,0,0,1671,319,761
small_cards_top_clicked,6478,2200,5172,0,0,0,0,0,0,6478,2200,5172
social_auth_clicked,0,0,0,0,0,0,104,21,72,104,21,72
suggested_viewed,0,0,0,887,73,296,5599,503,2079,6486,576,2375
user_engagement,654857,149391,296769,14855,2730,4754,656733,26694,39806,1326445,177745,343122
