20220418,72692,41818,72692,41818
20220419,62347,36141,62347,36141
20220420,34015,24180,34015,24180
20220421,16981,15032,16981,15032
20220422,11327,11502,11327,11502
20220423,8517,8959,8517,8959
20220424,7632,8452,7632,8452
